ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006974	cellular response to DNA damage stimulus	163/3844	381/22094	1.49379623042356e-31	3.56718539825145e-28	2.69826771727034e-28	AT5G10950/AT4G02070/AT2G06040/AT5G07810/AT5G50780/AT5G22750/AT2G02090/AT1G08130/AT4G18820/AT1G55460/AT1G80710/AT5G41150/AT1G66730/AT3G50880/AT1G12370/AT2G30110/AT4G25540/AT1G71310/AT2G16440/AT3G26680/AT5G46740/AT1G35530/AT3G14890/AT1G27880/AT1G48310/AT1G29630/AT4G15475/AT1G44900/AT5G44750/AT1G79950/AT3G59550/AT3G12040/AT4G02060/AT2G24490/AT1G15940/AT2G20330/AT3G13170/AT1G80850/AT3G02920/AT1G08400/AT2G22140/AT5G49010/AT1G78650/AT1G20720/AT1G47870/AT5G58760/AT5G21140/AT3G06820/AT5G22110/AT5G64520/AT1G77470/AT5G27680/AT5G63550/AT4G31400/AT1G10930/AT5G15540/AT1G64750/AT1G51130/AT1G77620/AT2G31970/AT2G19520/AT1G63160/AT5G16630/AT1G29850/AT4G32960/AT5G22010/AT4G30870/AT5G46280/AT5G07400/AT1G76710/AT5G07660/AT1G20750/AT1G09815/AT5G20850/AT2G27120/AT2G21800/AT2G07690/AT3G15620/AT5G50930/AT1G11800/AT2G30350/AT3G25100/AT5G60370/AT1G77320/AT1G14400/AT4G16970/AT5G41360/AT1G48360/AT3G28030/AT4G35520/AT3G23580/AT1G66740/AT5G63960/AT2G31320/AT5G57160/AT2G14050/AT4G30820/AT5G09740/AT3G15355/AT1G75230/AT1G18800/AT1G08260/AT1G13220/AT4G21070/AT1G65470/AT5G27740/AT5G38470/AT5G46210/AT1G68790/AT4G24790/AT3G20475/AT5G02820/AT5G61460/AT5G15170/AT1G21690/AT5G43500/AT3G50000/AT1G53025/AT1G55915/AT1G34770/AT5G45400/AT2G06510/AT5G44635/AT1G08390/AT5G64630/AT4G36050/AT5G08110/AT1G49980/AT5G45610/AT3G57300/AT5G44740/AT5G44010/AT3G16730/AT5G45720/AT3G48425/AT4G17380/AT1G31360/AT3G20490/AT3G20760/AT5G61000/AT4G32620/AT4G34060/AT3G42660/AT4G02460/AT1G80810/AT5G49110/AT2G47210/AT1G23260/AT5G15920/AT4G02390/AT4G31880/AT3G15150/AT2G40550/AT4G00020/AT5G55660/AT1G48580/AT2G28130/AT5G38110/AT3G02860/AT1G25580/AT2G36060/AT1G80420/AT4G36080	163
GO:0006281	DNA repair	151/3844	344/22094	8.45162715644493e-31	1.00912428247952e-27	7.63315378971552e-28	AT5G10950/AT4G02070/AT2G06040/AT5G07810/AT5G50780/AT5G22750/AT1G08130/AT4G18820/AT5G41150/AT1G66730/AT3G50880/AT1G12370/AT4G25540/AT1G71310/AT2G16440/AT3G26680/AT5G46740/AT1G35530/AT3G14890/AT1G27880/AT1G48310/AT1G29630/AT4G15475/AT1G44900/AT5G44750/AT1G79950/AT3G59550/AT3G12040/AT4G02060/AT2G24490/AT1G15940/AT2G20330/AT3G13170/AT1G80850/AT3G02920/AT2G22140/AT5G49010/AT1G78650/AT1G20720/AT5G58760/AT5G21140/AT3G06820/AT5G22110/AT5G64520/AT1G77470/AT5G27680/AT5G63550/AT4G31400/AT1G10930/AT5G15540/AT1G64750/AT1G51130/AT1G77620/AT2G31970/AT2G19520/AT1G63160/AT5G16630/AT1G29850/AT4G32960/AT5G22010/AT4G30870/AT5G46280/AT5G07400/AT1G76710/AT5G07660/AT1G20750/AT1G09815/AT5G20850/AT2G27120/AT2G21800/AT2G07690/AT3G15620/AT5G50930/AT1G11800/AT2G30350/AT3G25100/AT5G60370/AT1G14400/AT4G16970/AT5G41360/AT1G48360/AT3G28030/AT4G35520/AT3G23580/AT1G66740/AT5G63960/AT2G31320/AT5G57160/AT2G14050/AT4G30820/AT5G09740/AT3G15355/AT1G75230/AT1G18800/AT1G08260/AT4G21070/AT1G65470/AT5G27740/AT5G38470/AT5G46210/AT4G24790/AT3G20475/AT5G02820/AT5G61460/AT5G15170/AT1G21690/AT5G43500/AT3G50000/AT1G53025/AT1G55915/AT1G34770/AT5G45400/AT2G06510/AT5G44635/AT1G08390/AT5G64630/AT4G36050/AT5G08110/AT1G49980/AT3G57300/AT5G44740/AT5G44010/AT3G16730/AT5G45720/AT3G48425/AT4G17380/AT1G31360/AT3G20490/AT3G20760/AT5G61000/AT4G32620/AT4G34060/AT3G42660/AT4G02460/AT1G80810/AT5G49110/AT2G47210/AT1G23260/AT5G15920/AT4G02390/AT4G31880/AT3G15150/AT2G40550/AT4G00020/AT5G55660/AT1G48580/AT2G28130/AT5G38110/AT2G36060/AT1G80420/AT4G36080	151
GO:0006260	DNA replication	92/3844	167/22094	2.49855337554411e-28	1.98884848693311e-25	1.50439213769603e-25	AT2G31270/AT5G07810/AT5G40460/AT4G11920/AT5G58020/AT1G08130/AT4G18820/AT1G07270/AT1G55460/AT4G12620/AT4G14700/AT1G66730/AT3G19150/AT2G27960/AT4G09680/AT1G10690/AT2G02820/AT2G29680/AT5G16690/AT4G25540/AT2G16440/AT1G35530/AT5G08550/AT4G38600/AT1G27880/AT1G48310/AT1G26840/AT1G44900/AT1G79950/AT3G12280/AT4G02060/AT2G24490/AT3G02920/AT5G49010/AT1G78650/AT1G47870/AT5G67100/AT5G22110/AT1G67630/AT1G77470/AT5G27680/AT4G31400/AT1G10930/AT2G38620/AT4G22910/AT1G63160/AT5G02220/AT5G46280/AT4G05440/AT1G09815/AT4G29910/AT5G20850/AT2G27120/AT2G07690/AT5G24330/AT5G50930/AT5G25380/AT5G55300/AT5G55310/AT4G20010/AT3G25100/AT1G77320/AT3G23580/AT1G80190/AT5G63960/AT2G14050/AT1G08260/AT5G41880/AT2G23430/AT5G27740/AT2G37560/AT3G54750/AT4G24790/AT1G21690/AT1G69380/AT5G45400/AT2G06510/AT5G44635/AT2G20980/AT5G09790/AT3G54180/AT5G45720/AT1G31360/AT5G61000/AT3G42660/AT3G48160/AT4G32700/AT3G15150/AT2G40550/AT3G52050/AT3G02860/AT2G42120	92
GO:0006261	DNA-dependent DNA replication	79/3844	148/22094	2.44295217110945e-23	1.45844244615234e-20	1.103185769901e-20	AT2G31270/AT5G07810/AT5G40460/AT4G11920/AT5G58020/AT1G08130/AT4G18820/AT1G07270/AT4G12620/AT4G14700/AT1G66730/AT3G19150/AT2G27960/AT1G10690/AT2G02820/AT2G29680/AT5G16690/AT4G25540/AT2G16440/AT1G35530/AT5G08550/AT4G38600/AT1G27880/AT1G48310/AT1G26840/AT1G44900/AT1G79950/AT3G12280/AT4G02060/AT5G49010/AT1G78650/AT1G47870/AT5G67100/AT5G22110/AT1G67630/AT1G77470/AT5G27680/AT1G10930/AT2G38620/AT4G22910/AT1G63160/AT5G02220/AT5G46280/AT1G09815/AT4G29910/AT5G20850/AT2G27120/AT2G07690/AT5G50930/AT5G25380/AT4G20010/AT3G25100/AT1G77320/AT1G80190/AT5G63960/AT2G14050/AT1G08260/AT5G41880/AT5G27740/AT3G54750/AT4G24790/AT1G21690/AT1G69380/AT5G45400/AT2G06510/AT5G44635/AT2G20980/AT3G54180/AT5G45720/AT1G31360/AT5G61000/AT3G42660/AT3G48160/AT4G32700/AT3G15150/AT2G40550/AT3G52050/AT3G02860/AT2G42120	79
GO:0022402	cell cycle process	171/3844	491/22094	4.69500067440534e-21	2.24233232209599e-18	1.69613076995359e-18	AT5G10950/AT5G04990/AT4G02070/AT2G31270/AT1G49890/AT3G10730/AT1G70210/AT5G40460/AT1G49910/AT4G11920/AT5G58020/AT5G42970/AT3G44050/AT1G07270/AT1G49620/AT4G12620/AT5G41150/AT4G14700/AT3G19150/AT2G27960/AT4G11990/AT1G01370/AT1G10690/AT2G02820/AT2G29680/AT5G16690/AT4G25540/AT1G12360/AT5G15510/AT4G08960/AT2G16440/AT1G35530/AT5G08550/AT5G10010/AT4G38600/AT1G50490/AT2G30410/AT4G14150/AT5G06150/AT1G44900/AT4G15890/AT3G20060/AT3G01015/AT3G12280/AT3G59550/AT4G02060/AT1G15940/AT3G13170/AT1G64960/AT3G08510/AT1G77390/AT1G08400/AT5G05510/AT1G20720/AT1G47870/AT5G67100/AT1G47230/AT5G64520/AT2G45490/AT1G20930/AT4G31400/AT2G38620/AT4G22910/AT5G15540/AT5G21150/AT4G30710/AT1G77620/AT2G31970/AT1G04730/AT2G32980/AT5G02220/AT5G22010/AT4G30870/AT1G07060/AT1G04030/AT5G49160/AT1G77720/AT5G46280/AT1G44110/AT5G07660/AT1G20750/AT5G20850/AT2G07690/AT5G60930/AT5G48520/AT5G50930/AT1G16330/AT3G23890/AT5G25380/AT3G16320/AT3G54670/AT3G50240/AT5G54670/AT5G37630/AT5G62500/AT1G47570/AT3G47690/AT3G25100/AT1G54960/AT1G77320/AT5G65420/AT1G48360/AT4G35520/AT1G80190/AT1G53140/AT1G66740/AT1G01040/AT3G63130/AT3G43210/AT2G01905/AT5G07290/AT5G38880/AT5G67260/AT5G66410/AT2G23430/AT1G03780/AT4G21070/AT2G35630/AT5G61960/AT5G03470/AT3G54750/AT3G20475/AT4G27595/AT1G34460/AT5G02820/AT5G61460/AT5G62240/AT5G67270/AT1G20610/AT1G69380/AT4G35620/AT5G12360/AT4G38190/AT2G06510/AT5G19400/AT1G49040/AT5G44635/AT1G73790/AT1G08390/AT1G09630/AT3G54180/AT5G45610/AT3G16730/AT3G09840/AT1G13980/AT3G25980/AT1G15660/AT4G17380/AT4G32620/AT5G23700/AT3G48160/AT5G48600/AT1G80810/AT1G80260/AT2G28620/AT5G15920/AT3G55000/AT4G32700/AT4G31880/AT3G15150/AT3G05750/AT3G11520/AT2G40550/AT3G57060/AT5G38110/AT3G02860/AT3G57860/AT1G25580/AT1G32310/AT1G29400/AT1G06660	171
GO:0016192	vesicle-mediated transport	164/3844	500/22094	2.27185562413564e-17	9.04198538405984e-15	6.83948114213465e-15	AT2G38360/AT5G13150/AT4G34450/AT5G42570/AT3G13720/AT1G59820/AT3G07960/AT5G05380/AT2G23310/AT2G18260/AT5G01640/AT1G73030/AT4G14950/AT4G14160/AT3G09530/AT2G01920/AT2G32760/AT3G61710/AT1G05785/AT1G12360/AT5G01430/AT1G05520/AT1G14910/AT4G14455/AT4G39220/AT4G35560/AT2G01600/AT5G58060/AT1G55190/AT4G26100/AT5G52340/AT2G26890/AT1G59610/AT1G62020/AT2G32670/AT1G51740/AT2G18240/AT1G31780/AT5G24350/AT4G02195/AT1G08400/AT3G28430/AT2G30050/AT2G20930/AT3G45280/AT1G16240/AT1G05020/AT2G36900/AT4G04910/AT2G39805/AT1G03900/AT1G21660/AT5G50380/AT1G51160/AT3G17780/AT5G22770/AT1G04260/AT1G08190/AT3G61450/AT3G63460/AT4G17170/AT1G50730/AT5G44100/AT1G18830/AT3G52190/AT4G05520/AT3G10780/AT5G04920/AT4G35860/AT3G13670/AT4G21560/AT1G04760/AT5G02040/AT4G32150/AT3G07950/AT1G62880/AT1G60780/AT1G21630/AT2G05170/AT1G77140/AT1G47560/AT2G27600/AT3G03160/AT3G62290/AT1G10290/AT2G20760/AT4G28540/AT2G40060/AT5G22950/AT5G39510/AT3G62080/AT3G11130/AT1G02010/AT2G45200/AT4G12120/AT1G03930/AT5G10260/AT2G33110/AT3G53610/AT3G47810/AT3G06540/AT4G16144/AT2G28390/AT5G24170/AT2G38410/AT5G57015/AT2G47170/AT1G73430/AT1G70490/AT5G22360/AT4G11740/AT3G59500/AT3G20290/AT5G53530/AT5G13990/AT1G09580/AT1G36980/AT1G52360/AT4G29380/AT1G13980/AT2G14720/AT1G79990/AT3G59920/AT2G24765/AT3G46060/AT3G08530/AT1G10630/AT4G05000/AT1G05360/AT5G65950/AT1G15880/AT5G11980/AT4G02080/AT5G11710/AT4G11380/AT1G60490/AT5G05987/AT5G43670/AT5G18190/AT1G71820/AT4G39890/AT3G44340/AT3G55600/AT3G07680/AT5G08080/AT5G43320/AT2G21600/AT4G31490/AT1G17730/AT1G09180/AT1G29330/AT1G79590/AT5G59840/AT5G05010/AT2G44610/AT2G06530/AT2G20990/AT1G04450/AT4G29160/AT3G11530/AT3G22950/AT3G51300/AT1G23490/AT5G52210	164
GO:0051726	regulation of cell cycle	100/3844	251/22094	2.90748000394458e-17	9.9186603563138e-15	7.50261005529158e-15	AT2G31270/AT5G63370/AT1G70210/AT5G40460/AT1G49910/AT4G11920/AT5G42970/AT1G07270/AT1G49620/AT1G80710/AT4G12620/AT4G14700/AT3G19150/AT2G27960/AT4G11990/AT1G10690/AT2G23070/AT2G02820/AT2G29680/AT5G15510/AT1G35530/AT5G10010/AT1G50490/AT3G05870/AT3G50410/AT5G06150/AT3G20060/AT3G01015/AT5G27620/AT3G12280/AT2G36010/AT1G77390/AT1G08400/AT5G05510/AT1G47870/AT5G27610/AT3G01330/AT1G47230/AT2G45490/AT1G20930/AT4G31400/AT2G38620/AT5G15540/AT1G06230/AT1G77620/AT5G02220/AT4G30870/AT2G20580/AT1G77720/AT1G44110/AT4G28980/AT4G05440/AT5G24330/AT1G16330/AT3G23890/AT5G25380/AT3G16320/AT2G18040/AT2G22010/AT1G47570/AT3G25100/AT1G77320/AT5G65420/AT3G23580/AT1G66740/AT4G30820/AT2G01905/AT5G07290/AT5G67260/AT2G23430/AT1G03780/AT4G21070/AT5G61960/AT1G65470/AT5G58230/AT1G34460/AT5G22000/AT5G62240/AT3G50000/AT1G20610/AT1G69380/AT4G35620/AT5G12360/AT5G06830/AT1G08390/AT5G09790/AT3G54180/AT5G02470/AT5G45610/AT3G25980/AT3G48160/AT4G32700/AT3G15150/AT3G11520/AT1G71150/AT5G38110/AT3G02860/AT3G57860/AT1G25580/AT1G29400	100
GO:0006302	double-strand break repair	67/3844	139/22094	5.68884755116546e-17	1.69812099402289e-14	1.28448189444736e-14	AT5G22750/AT1G08130/AT5G41150/AT1G66730/AT1G71310/AT2G16440/AT3G26680/AT1G35530/AT1G27880/AT1G44900/AT1G79950/AT3G59550/AT4G02060/AT2G24490/AT2G20330/AT3G13170/AT3G02920/AT5G49010/AT1G20720/AT5G21140/AT3G06820/AT5G64520/AT5G27680/AT5G63550/AT4G31400/AT1G10930/AT5G15540/AT1G64750/AT2G31970/AT4G30870/AT5G46280/AT5G07400/AT5G07660/AT1G20750/AT5G20850/AT2G07690/AT1G11800/AT2G30350/AT3G25100/AT4G16970/AT1G66740/AT2G31320/AT5G57160/AT2G14050/AT1G18800/AT4G21070/AT1G65470/AT5G02820/AT5G61460/AT5G15170/AT5G43500/AT1G34770/AT5G45400/AT2G06510/AT5G44635/AT1G08390/AT5G64630/AT3G57300/AT1G31360/AT5G61000/AT5G15920/AT4G02390/AT3G15150/AT4G00020/AT5G55660/AT5G38110/AT1G80420	67
GO:0000278	mitotic cell cycle	107/3844	289/22094	1.00223091717692e-15	2.65925270024277e-13	2.01149503377263e-13	AT5G10950/AT2G31270/AT5G63370/AT1G70210/AT5G40460/AT1G49910/AT5G58020/AT5G42970/AT1G07270/AT4G12620/AT4G14700/AT2G27960/AT4G11990/AT1G10690/AT2G29680/AT1G47200/AT5G15510/AT4G08960/AT2G16440/AT5G10010/AT1G50490/AT3G05870/AT4G14150/AT5G01450/AT5G06150/AT1G44900/AT4G15890/AT3G20060/AT3G01015/AT3G12280/AT3G59550/AT1G48270/AT1G15940/AT1G64960/AT1G77390/AT1G08400/AT5G05510/AT5G67100/AT1G47230/AT2G45490/AT1G20930/AT4G31400/AT2G38620/AT5G15540/AT1G06230/AT1G77620/AT2G32980/AT5G02220/AT4G30870/AT5G49160/AT1G77720/AT5G46280/AT1G44110/AT1G75780/AT5G20850/AT2G27120/AT5G60930/AT1G16330/AT3G23890/AT5G25380/AT3G16320/AT3G54670/AT3G50240/AT5G37630/AT1G47570/AT3G25100/AT1G77320/AT5G65420/AT4G14960/AT1G80190/AT1G66740/AT1G50010/AT2G01905/AT1G08260/AT5G67260/AT1G03780/AT2G35630/AT1G34460/AT5G62240/AT1G20610/AT4G35620/AT5G12360/AT4G38190/AT5G44635/AT1G73790/AT5G06830/AT3G54180/AT3G16730/AT3G09840/AT3G25980/AT1G15660/AT4G32620/AT3G42660/AT5G23860/AT5G48600/AT1G80810/AT1G80260/AT5G44340/AT2G28620/AT4G31880/AT3G15150/AT3G05750/AT3G11520/AT3G57060/AT5G38110/AT3G02860/AT3G57860	107
GO:0006325	chromatin organization	128/3844	374/22094	2.03384442884376e-15	4.85682049607889e-13	3.67376530515357e-13	AT3G60110/AT4G27910/AT2G43410/AT2G22475/AT2G46040/AT5G50780/AT3G49660/AT3G01320/AT2G02090/AT3G61740/AT4G16280/AT5G63110/AT5G35910/AT1G79350/AT2G31650/AT5G46910/AT1G08600/AT3G01460/AT5G16800/AT2G19910/AT4G17410/AT2G22720/AT5G08565/AT5G53430/AT2G19920/AT5G39550/AT3G07220/AT1G59890/AT3G48430/AT1G65440/AT5G66750/AT5G18620/AT1G30810/AT2G20330/AT3G06820/AT5G54640/AT2G45490/AT1G77300/AT1G51450/AT1G21610/AT3G22590/AT5G15540/AT1G09060/AT5G02570/AT2G46020/AT4G21430/AT5G11470/AT5G22010/AT1G57820/AT1G08060/AT1G76710/AT1G05910/AT1G51060/AT4G29940/AT1G08460/AT1G66050/AT5G24330/AT3G06010/AT1G79000/AT5G55390/AT5G55300/AT1G49950/AT5G55310/AT1G05830/AT3G13670/AT3G62800/AT3G25100/AT1G14400/AT1G76510/AT4G10710/AT1G09320/AT1G06760/AT1G08880/AT4G30200/AT3G12980/AT1G66740/AT2G27350/AT5G46030/AT2G22740/AT5G09740/AT3G27100/AT1G18800/AT2G17900/AT4G16420/AT4G21070/AT1G65470/AT2G34880/AT1G18335/AT5G58230/AT5G43500/AT5G19310/AT3G50000/AT2G18000/AT3G15120/AT1G73790/AT5G13960/AT5G09790/AT5G64630/AT5G59870/AT4G14385/AT5G02520/AT2G35160/AT3G57300/AT1G61215/AT2G38950/AT2G16485/AT2G47350/AT3G53650/AT2G19930/AT4G32620/AT3G04380/AT3G42660/AT5G66240/AT2G17410/AT1G16710/AT3G51880/AT2G47210/AT5G18190/AT3G02980/AT3G06660/AT3G19040/AT3G24440/AT3G44680/AT4G00830/AT5G38110/AT2G17560/AT1G04050/AT1G20696	128
