gene	Flower	Meiocyte	Microspore	Veg	Spm	Preglobular	Globular	Heart	Torpedo	BentCotyledon	MatureGreen	Seedling
AT1G01183	0	0	0	0	0	1.49514	0	0	0.50351	0	0	0
AT1G01250	8.70741	0	0.14093	0	0	0.0885274	0	0.915738	1.60576	19.7148	418.5	1.0445985
AT1G01670	1.97617	12.3672	1.6296	0	0	0.351573	0.0903262	0.0696552	0.06159575	0	0	0.2476395
AT1G02335	8.3352	0.530965	0	0	0	0	0	0	0.7936445	2.88628	0	2.713965
AT1G02400	1.25672	0	0.148832	0	0	0.101635	0	0.00870015	0.014126	0.147423	0	38.26785
AT1G02580	0.0442422	0.0728005	0	0.606224	0	0.0247533	0.0330894	0	0	0	0.0441	0
AT1G02620	0.140131	0.5091	0.827037	0	0	0	0	0	0	0	0	1.076512
AT1G03720	1.47069	0.405084	0	0	0	0.23139	0	0	0	0	0	0
AT1G04171	0	0	0	0	0	0	0	0	0	0	1.48536	0
AT1G04220	20.4477	0.1099875	0.468785	0.105028	0.0998184	2.87601	13.0694	4.471005	5.856565	4.33015	0.841494	4.51983
AT1G04450	3.00282	1.159145	32.1121	60.0186	47.6732	0	0.102768	0	0.0941103	0	0	0
AT1G04660	9.03866	1.51916	0.120443	0	0	31.2209	11.5096	595.0285	1406.62	1135.74	844.486	0
AT1G05080	1.24391	0.196501	0.456524	0	0	0	0	0	0	0	0	0.2190815
AT1G05420	4.89607	0.470564	0	0	0	0.638201	1.13242	1.969235	2.60106	4.86847	10.4701	0
AT1G06135	0	0	0	0	0	0	0	0	0	0	0	2.09855
AT1G06280	37.6636	0	1.11741	0	0	0	0	0	0.0363789	0	0	0
AT1G06330	0	11.56308	0	0	0	0	0	0.07937635	0	0	0	0
AT1G06980	0.774571	0.525405	0.517079	0	0	41.6809	19.0712	11.13805	7.593645	1.34288	1.41799	3.46454
AT1G07175	0.427398	0	0	0	0	0	0.307207	0.125212	0	0	1.26394	0
AT1G09026	0	0	0	0	0	0	0	0	0	0	0	0
AT1G09380	0.73488	0.2476115	0.161126	0	0	0.304057	2.54745	3.77046	5.95904	1.45568	1.20361	1.2372315
AT1G10270	6.85326	127.812	9.21807	0	0	16.6479	14.3187	11.0762	6.88763	5.81286	3.4855	1.090721
AT1G10586	0	0	0	0.269079	0	0	0	0	0	0	0	0
AT1G10747	4.4896	0	0	0	0	0	0.114615	0.08483825	0	0.254057	0.240507	0
AT1G11080	3.75606	0.1789275	0.0899835	0	0	0	0	0	0	0	0	3.036745
AT1G11370	0.10083	1.062813	0	0	0	0	0	0	0	0	0	0
AT1G11470	0.286767	0	1.67042	0	0	0	0	0	0	0	0	0
AT1G11850	81.0255	0	0	0	0	0	0	0	0.2153805	0.818564	0	4.891435
AT1G12010	0.880938	0	0	0	0	0	0	0	0.101439	0	9.36827	0.8161335
AT1G12030	0.172255	0.519352	0.178433	0	0	0.655029	2.03522	0.0659491	0.0717259	0.168333	0	0
AT1G12130	0.0172277	0	0	0	0	0	0	0	0.0815897	0	0.0730283	0
AT1G12190	0	0.1070855	0	0	0	0	0	0	0	0	0	0
AT1G12260	1.26516	0.35813385	0.260149	0.708718	0.479171	0.0399494	0	0	0.03770225	0	0	0.2563955
AT1G12490	0.297479	0	1.33886	0	0	0	0	0	0	0	0	0.509785
AT1G12805	0.268055	0	0	0	0	0	0	9.55968	217.6685	544.534	3096.43	1.429165
AT1G12960	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12980	0.0351002	0.1466925	0.0798173	0	0	61.7777	22.3004	0.709173	0.8976165	0.762255	1.52511	0
AT1G13400	0.717255	0	0	0	0	0.466283	33.517	19.7195	2.862185	1.1437	0	0
AT1G13760	0.0575591	0	0	0	0	0	0	0	0	0	0	0
AT1G14110	0.0060515	0	0.0764124	0	0	0	0	0	0	0	0	0
AT1G15320	3.37314	38.9146	0.587283	0.387952	0.193322	0.882956	0.770611	0.5986005	0.2058295	0	0	0
