gene_ID	Flower	Meiocyte	Microspore	Veg	Spm	Preglobular	Globular	Heart	Torpedo	BentCotyledon	MatureGreen	Seedling
AT1G01010	2.19098	0.283003	0.0837427	0	0	1.09309	1.41074	0.9013945	0.5081765	0.299473	0.756401	2.629755
AT1G01020	10.5642	1.353115	7.27618	0.345402	42.728	15.22	17.4065	17.9913	19.06905	7.3944	17.1711	1.038612
AT1G01030	3.20901	0.444976	0.188794	0.252522	0	0	0	0.2442044	1.446395	3.43589	2.14277	0.0837475
AT1G01040	10.4257	2.339045	0.680465	2.51604	11.0036	0.911277	1.35262	1.498765	1.361555	2.05902	2.46223	3.924095
AT1G01046	9.03419	0	0	0	0	0	0	0.0714205	0	0.775412	0	6.13285
AT1G01050	54.9029	23.9843	239.698	5.03385	24.6643	111.857	104.702	84.8293	93.14715	63.7062	58.7449	7.025775
AT1G01060	2.06563	0.9187995	1.61951	0.165681	0.461985	2.31529	2.94371	3.081165	1.672115	11.134	3.50779	0.75793
AT1G01070	0.888601	0	0	0	0	0	0	0	0.129004	0	0.14526	6.246165
AT1G01073	0	0	0	0	0	0	0	0	0.453067	0	0	0
AT1G01080	27.7207	6.6507	1.44921	0	0	13.9899	24.649	37.9188	58.49535	40.4757	8.5701	14.6892
AT1G01090	81.5274	55.83045	42.9721	0.785983	0.11759	188.853	224.84	295.0205	557.8065	1082.23	540.629	26.7598
AT1G01100	596.385	307.1035	605.619	0	23.1945	4350.37	2608.41	1895.3	2470.66	1152.6	858.667	166.7295
AT1G01110	8.20153	1.076101	0.048484	0	0	19.1216	25.693	19.229	8.233575	5.82457	3.17919	0.9423515
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	18.1552	0.989107	0.20871	0	0	9.05409	23.8969	21.2892	17.9428	20.9227	5.72579	38.80595
AT1G01130	7.06672	1.888225	6.31832	0	0	12.7864	12.8938	22.4562	38.8736	33.3238	31.3752	1.828315
AT1G01140	24.9889	0.3343725	5.31446	12.9752	10.2831	8.04986	13.2483	13.60835	18.6026	34.7211	15.0042	18.8133
AT1G01150	1.52923	0.443589	0.0550386	0	0	0.717041	1.00006	0.565053	0.3122545	0.0752078	0	0
AT1G01160	30.3725	16.52125	8.26296	0	0.968014	111.467	114.792	80.10515	70.2631	59.9553	69.55	5.655555
AT1G01170	68.1186	4.50928	0.273421	0	0	79.3591	121.985	158.102	402.4725	182.547	285.662	36.2797
AT1G01180	0.592675	8.560015	0.510659	0	0	0.966125	0.702308	0.544114	0.1358215	0.365817	3.01407	8.24216
AT1G01183	0	0	0	0	0	1.49514	0	0	0.50351	0	0	0
