Chr	Start	End	Value
Chr1	1	10000	1
Chr1	10001	20000	5
Chr1	20001	30000	2
Chr1	30001	40000	2
Chr1	40001	50000	2
Chr1	50001	60000	4
Chr1	60001	70000	5
Chr1	70001	80000	5
Chr1	80001	90000	3
Chr1	90001	1e+05	2
Chr1	100001	110000	2
Chr1	110001	120000	3
Chr1	120001	130000	2
Chr1	130001	140000	3
Chr1	140001	150000	5
Chr1	150001	160000	3
Chr1	160001	170000	3
Chr1	170001	180000	3
Chr1	180001	190000	4
Chr1	190001	2e+05	3
Chr1	200001	210000	1
Chr1	210001	220000	3
Chr1	220001	230000	3
Chr1	230001	240000	4
Chr1	240001	250000	1
Chr1	250001	260000	2
Chr1	260001	270000	4
Chr1	270001	280000	2
Chr1	280001	290000	2
Chr1	290001	3e+05	4
Chr1	300001	310000	2
Chr1	310001	320000	3
Chr1	320001	330000	1
Chr1	330001	340000	2
Chr1	340001	350000	4
Chr1	350001	360000	4
Chr1	360001	370000	1
Chr1	370001	380000	2
Chr1	380001	390000	0
Chr1	390001	4e+05	1
Chr1	400001	410000	2
Chr1	410001	420000	3
Chr1	420001	430000	2
Chr1	430001	440000	2
Chr1	440001	450000	1
Chr1	450001	460000	2
Chr1	460001	470000	6
Chr1	470001	480000	3
Chr1	480001	490000	2
Chr1	490001	5e+05	3
Chr1	500001	510000	4
Chr1	510001	520000	4
Chr1	520001	530000	2
Chr1	530001	540000	1
Chr1	540001	550000	3
Chr1	550001	560000	7
Chr1	560001	570000	3
Chr1	570001	580000	3
Chr1	580001	590000	4
Chr1	590001	6e+05	3
Chr1	600001	610000	2
Chr1	610001	620000	2
Chr1	620001	630000	3
Chr1	630001	640000	2
Chr1	640001	650000	2
Chr1	650001	660000	2
Chr1	660001	670000	1
Chr1	670001	680000	3
Chr1	680001	690000	1
Chr1	690001	7e+05	1
Chr1	700001	710000	2
Chr1	710001	720000	2
Chr1	720001	730000	1
Chr1	730001	740000	1
Chr1	740001	750000	2
Chr1	750001	760000	1
Chr1	760001	770000	2
Chr1	770001	780000	1
Chr1	780001	790000	3
Chr1	790001	8e+05	4
Chr1	800001	810000	1
Chr1	810001	820000	1
Chr1	820001	830000	1
Chr1	830001	840000	2
Chr1	840001	850000	2
Chr1	850001	860000	4
Chr1	860001	870000	3
Chr1	870001	880000	3
Chr1	880001	890000	1
Chr1	890001	9e+05	2
Chr1	900001	910000	4
Chr1	910001	920000	2
Chr1	920001	930000	2
Chr1	930001	940000	3
Chr1	940001	950000	2
Chr1	950001	960000	4
Chr1	960001	970000	2
Chr1	970001	980000	3
Chr1	980001	990000	3
Chr1	990001	1e+06	2
Chr1	1000001	1010000	2
Chr1	1010001	1020000	1
Chr1	1020001	1030000	2
Chr1	1030001	1040000	1
Chr1	1040001	1050000	2
Chr1	1050001	1060000	1
Chr1	1060001	1070000	1
Chr1	1070001	1080000	2
Chr1	1080001	1090000	2
Chr1	1090001	1100000	2
Chr1	1100001	1110000	3
Chr1	1110001	1120000	1
Chr1	1120001	1130000	3
Chr1	1130001	1140000	3
Chr1	1140001	1150000	4
Chr1	1150001	1160000	3
Chr1	1160001	1170000	4
Chr1	1170001	1180000	4
Chr1	1180001	1190000	0
Chr1	1190001	1200000	3
Chr1	1200001	1210000	3
Chr1	1210001	1220000	2
