annogene_ID	peak_ID	peak_H3K27me3_RPKM	peak_H3K4me3_RPKM	RS_SN_median	quantile
AT3G20015	Merged-3-6979705-2	173.2981917	235.4279427	94.6409	1_quantile
AT1G19890	Merged-1-6905518-2	160.8777705	176.1904498	1817.86	1_quantile
AT5G64640	Merged-5-25837304-2	150.2371331	213.8971272	29.3804	1_quantile
AT1G75960	Merged-1-28518210-2	141.34566	151.1444055	4.57759	1_quantile
AT4G32020	Merged-4-15488685-2	138.1535471	164.2939296	41.4209	1_quantile
AT5G65683	Merged-5-26262272-2	136.7353486	156.0767234	37.2021	1_quantile
AT1G24530	Merged-1-8693757-2	133.8355085	145.4916781	66.9737	1_quantile
AT5G39650	Merged-5-15875855-2	130.7607266	129.9472877	510.449	1_quantile
AT1G51170	Merged-1-18954089-2	127.2389948	156.7460066	7.78823	1_quantile
AT3G04620	Merged-3-1256134-2	123.7183869	102.4488808	840.817	1_quantile
AT5G50450	Merged-5-20544100-2	123.557939	147.1154407	98.138	1_quantile
AT5G62180	Merged-5-24979617-2	122.777261	187.5988067	3.02294	1_quantile
AT5G01700	Merged-5-264634-2	122.6831891	154.767411	40.1128	1_quantile
AT5G63350	Merged-5-25380749-2	120.0416976	129.4910853	68.3913	1_quantile
AT4G22580	Merged-4-11890006-2	117.8793116	183.009264	6.62586	1_quantile
AT2G36320	Merged-2-15229511-2	113.2529268	148.6538936	222.734	1_quantile
AT3G50310	Merged-3-18648356-2	112.1021377	132.3904654	5649.77	1_quantile
AT1G80470	Merged-1-30257770-2	110.5195432	112.3471545	4831.49	1_quantile
AT3G10600	Merged-3-3314619-2	109.8520149	150.8058861	4.73118	1_quantile
AT3G27050	Merged-3-9979810-2	109.8307082	116.9072113	249.419	1_quantile
AT4G13000	Merged-4-7598889-2	106.1879534	111.054246	117.156	1_quantile
AT3G27270	Merged-3-10073607-2	105.9792338	146.2837008	3.08001	1_quantile
AT1G08165	Merged-1-2562957-2	104.3277434	153.4821662	40.9328	1_quantile
AT3G18170	Merged-3-6228969-2	104.1539618	186.5897789	3.0536	1_quantile
AT5G59540	Merged-5-23998143-3	102.8919524	175.7738069	1.1178	1_quantile
AT3G18950	Merged-3-6537677-2	101.7168772	130.7300907	92.652	1_quantile
AT5G16020	Merged-5-5230671-2	99.15157074	99.51878916	388.64	1_quantile
AT5G24318	Merged-5-8283188-2	98.4301094	152.0658722	1.0823	1_quantile
AT1G30740	Merged-1-10903769-2	98.22056902	128.3111924	14.7804	1_quantile
AT3G06190	Merged-3-1875935-2	98.01818976	128.5190986	2355.96	1_quantile
AT3G62200	Merged-3-23024087-2	97.49171794	124.1379986	81.0972	1_quantile
AT1G71950	Merged-1-27083167-2	97.31654842	132.2051122	6.40641	1_quantile
AT2G38360	Merged-2-16069942-2	96.88461372	144.1920239	34.3496	1_quantile
AT5G16100	Merged-5-5260152-3	96.72196795	121.2635339	1554.81	1_quantile
AT3G49450	Merged-3-18337954-2	95.93428014	105.2374986	205.714	1_quantile
AT1G31350	Merged-1-11222202-2	93.68916797	135.0666016	30.981	1_quantile
AT5G40720	Merged-5-16298721-2	93.67722937	122.3264278	116.674	1_quantile
AT2G01410	Merged-2-175765-2	92.51356891	186.3912462	2.2587	1_quantile
AT3G08780	Merged-3-2666750-2	92.11542787	172.4704684	281.018	1_quantile
AT3G59940	Merged-3-22143759-2	91.24621115	169.1695582	0.851306	1_quantile
AT4G27950	Merged-4-13910219-2	91.16123642	118.759365	8.69041	1_quantile
AT5G49850	Merged-5-20261095-2	90.86312143	99.73593907	222.369	1_quantile
AT1G14430	Merged-1-4935421-2	90.48826631	167.0794554	26.4529	1_quantile
AT1G01500	Merged-1-185699-2	90.43419837	137.8252725	153.407	1_quantile
AT2G19572	Merged-2-8471124-2	90.42656767	165.348796	8.57146	1_quantile
AT5G13110	Merged-5-4157818-2	90.16956536	138.5387695	7.05563	1_quantile
AT4G39260	Merged-4-18274468-2	90.05186233	136.0682517	37.6547	1_quantile
AT5G47010	Merged-5-19072480-2	89.32314238	125.7904464	20.2015	1_quantile
AT5G09800	Merged-5-3043563-2	88.75348701	136.6711447	2946.01	1_quantile
AT2G47030	Merged-2-19325277-2	88.56543449	41.77537481	417.345	1_quantile
AT1G31240	Merged-1-11164392-2	88.40575417	144.8888874	52.8166	1_quantile
AT5G10950	Merged-5-3460537-2	88.18045955	82.13233517	31417.2	1_quantile
AT1G15800	Merged-1-5442614-2	88.01850707	153.2565808	663.697	1_quantile
AT4G40070	Merged-4-18577128-2	87.16610334	152.9464361	1.02344	1_quantile
AT3G11410	Merged-3-3585560-3	86.5910511	154.3873128	217.749	1_quantile
AT4G17870	Merged-4-9929100-2	86.17247105	118.0443736	2.67412	1_quantile
AT3G16510	Merged-3-5617709-2	86.09975323	148.801118	2.91986	1_quantile
AT2G28350	Merged-2-12115001-2	86.09763643	130.1764795	12.8567	1_quantile
AT3G04715	Merged-3-1282065-2	85.55286521	120.4873799	7.87644	1_quantile
AT3G60110	Merged-3-22198672-2	85.32024832	148.5222246	85.9418	1_quantile
AT1G02650	Merged-1-569302-2	85.22846814	123.9396285	20.1048	1_quantile
AT1G60240	Merged-1-22215552-2	84.94176323	95.94087974	5947.63	1_quantile
AT5G63130	Merged-5-25323448-2	84.89795918	119.4677679	1.10761	1_quantile
AT1G23390	Merged-1-8310131-2	84.68109048	169.285891	1.21268	1_quantile
AT3G07350	Merged-3-2348178-2	84.60407349	135.4694772	3.16245	1_quantile
AT3G10560	Merged-3-3300786-2	84.60371025	133.0994902	1.4391	1_quantile
AT5G60680	Merged-5-24386443-2	84.45560042	143.0826919	11.6538	1_quantile
AT3G26510	Merged-3-9711947-2	84.19942935	112.6761856	4.8037	1_quantile
AT3G12510	Merged-3-3968121-2	83.89414747	95.14803346	2889.61	1_quantile
AT1G35115	Merged-1-12841799-2	83.68985922	104.3841336	78.7164	1_quantile
AT5G04990	Merged-5-1473523-2	83.47039156	103.0058141	233.725	1_quantile
AT5G08240	Merged-5-2651650-2	83.05507253	88.05269355	678.983	1_quantile
AT3G56360	Merged-3-20896934-2	82.58375814	144.6369182	44.4442	1_quantile
AT1G21580	Merged-1-7564986-2	82.22201323	144.5873522	20.4752	1_quantile
AT3G12630	Merged-3-4012810-2	81.37986449	122.6568277	128.245	1_quantile
AT4G13840	Merged-4-8014447-2	81.3486146	120.4162389	6.47814	1_quantile
AT5G01215	Merged-5-85262-2	81.17424868	129.104396	2.76179	1_quantile
AT1G10230	Merged-1-3356184-2	81.14059367	126.279357	630.945	1_quantile
AT4G02070	Merged-4-906565-2	80.82196609	115.9726836	50.8049	1_quantile
AT1G21010	Merged-1-7346726-2	79.39614202	101.3169693	105.266	1_quantile
AT1G73510	Merged-1-27642743-2	79.32304629	113.0484693	149.693	1_quantile
AT3G11690	Merged-3-3695792-2	79.24415637	122.2111911	172.923	1_quantile
AT5G06280	Merged-5-1918866-2	79.17243784	80.48455175	997.685	1_quantile
AT4G14430	Merged-4-8305205-2	79.11589544	121.2487292	124.786	1_quantile
AT1G25370	Merged-1-8898514-2	78.49133537	110.4676884	0.549818	1_quantile
AT3G62020	Merged-3-22971875-2	78.46008359	123.9593822	5.51236	1_quantile
AT5G37060	Merged-5-14644366-2	78.1792465	33.97929526	0.57977	1_quantile
AT1G31990	Merged-1-11487916-3	78.04972523	116.1738971	1104.99	1_quantile
AT1G49290	Merged-1-18232296-3	77.84974968	138.2103354	4067.52	1_quantile
AT5G28040	Merged-5-10038521-2	77.67348616	120.9469958	15.9433	1_quantile
AT5G63720	Merged-5-25507289-2	77.51069692	110.1387516	431.17	1_quantile
AT2G31270	Merged-2-13330014-2	77.46742247	80.5900251	287.233	1_quantile
AT2G36470	Merged-2-15300104-2	76.86242814	112.293658	33.8841	1_quantile
AT3G16380	Merged-3-5559748-2	76.84461641	91.20872172	588.595	1_quantile
AT5G43620	Merged-5-17523486-2	76.56182473	82.35306063	20.7524	1_quantile
AT1G65520	Merged-1-24361501-2	76.22890286	137.8425648	27.3072	1_quantile
AT5G13150	Merged-5-4174173-2	76.21881032	135.0095783	22.1465	1_quantile
AT2G47050	Merged-2-19332178-2	76.02063892	89.56594536	452.304	1_quantile
AT4G35610	Merged-4-16898999-2	76.01130177	84.63240147	808.39	1_quantile
AT4G37420	Merged-4-17594682-4	75.95148473	165.8333882	44.6797	1_quantile
AT2G41250	Merged-2-17201695-2	75.63097703	83.43030444	540.703	1_quantile
AT5G46370	Merged-5-18811221-2	75.4389768	98.25424334	9.59924	1_quantile
AT2G38490	Merged-2-16114468-2	75.36465616	139.3919899	29.6826	1_quantile
AT3G61580	Merged-3-22786742-2	75.14242446	100.495466	115.526	1_quantile
AT5G05230	Merged-5-1552012-2	74.5542016	92.48270485	168.071	1_quantile
AT3G06890	Merged-3-2177111-2	74.42646024	121.746969	120.161	1_quantile
AT5G60820	Merged-5-24470171-2	73.83005696	101.4674391	85.9275	1_quantile
AT3G52460	Merged-3-19447235-2	73.25474719	139.3649046	15.252	1_quantile
AT3G12060	Merged-3-3843923-2	73.01327922	102.4855017	38.2334	1_quantile
AT2G23340	Merged-2-9938651-2	72.70563146	134.746126	80.2443	1_quantile
AT4G36830	Merged-4-17349703-2	72.52497042	132.8067861	0.95963	1_quantile
AT2G23290	Merged-2-9905288-2	72.39385184	121.5399691	16.009	1_quantile
AT3G19580	Merged-3-6803628-2	72.25923789	103.7784922	53.6178	1_quantile
AT1G69430	Merged-1-26098454-2	72.18206432	81.83963695	226.591	1_quantile
AT4G00060	Merged-4-21885-2	72.0178649	131.8693148	17.2186	1_quantile
AT1G14970	Merged-1-5164353-2	71.84878613	121.568612	58.9495	1_quantile
AT5G02910	Merged-5-677994-2	71.77485981	82.41055011	47.161	1_quantile
AT5G67420	Merged-5-26904669-2	71.72563348	87.02171788	7.86142	1_quantile
AT1G60410	Merged-1-22259784-2	71.66282491	72.05145959	1219.65	1_quantile
AT2G25250	Merged-2-10754219-2	71.38543222	102.8806584	8.71106	1_quantile
AT2G43220	Merged-2-17965062-2	71.35564506	106.3852952	34.9692	1_quantile
AT1G23210	Merged-1-8240955-2	70.73966551	104.7964663	47.2542	1_quantile
AT1G76600	Merged-1-28747300-2	70.7334705	97.25896167	45.5322	1_quantile
AT3G10510	Merged-3-3274733-2	70.65546366	113.4336317	214.453	1_quantile
AT1G64610	Merged-1-24000085-2	70.30891101	89.93509118	887.741	1_quantile
AT1G59910	Merged-1-22056423-2	70.14542344	108.0717917	1.2538	1_quantile
